 POST        USINA       JAN       FEV       MAR       ABR       MAI       JUN       JUL       AGO       SET       OUT       NOV       DEZ
 XXXX XXXXXXXXXXXX XXXXXX.XX XXXXXX.XX XXXXXX.XX XXXXXX.XX XXXXXX.XX XXXXXX.XX XXXXXX.XX XXXXXX.XX XXXXXX.XX XXXXXX.XX XXXXXX.XX XXXXXX.XX
MESPLAN =    8     ANOPLAN = 2024
  168                1632.00   2316.00   2163.00   1848.00    640.00    410.00    382.00    503.00    492.00    370.00    513.00    409.00
  169                2139.00   3003.00   2759.00   2586.00    931.00    586.00    522.00    720.00    690.00    518.00    722.00    635.00
  171                   0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
  172                2133.00   3038.00   2866.00   2743.00    990.00    592.00    527.00    723.00    695.00    521.00    728.00    594.00
  173                2133.00   3038.00   2866.00   2743.00    990.00    592.00    527.00    723.00    695.00    521.00    728.00    594.00
  175                2133.00   3038.00   2866.00   2743.00    990.00    592.00    527.00    723.00    695.00    521.00    728.00    594.00
  176                2133.00   3038.00   2866.00   2743.00    990.00    592.00    527.00    723.00    695.00    521.00    728.00    594.00
  178                2047.00   3047.00   2908.00   2753.00   1025.00    595.00    529.00    725.00    697.00    526.00    728.00    581.00
  183                 100.00     75.00     67.00     37.00     27.00     23.00     22.00     33.00     33.00     33.00     48.00     43.00
  187                 122.00    123.00    122.00    101.00     87.00     77.00     68.00     62.00     61.00     68.00     86.00    112.00
  188                 471.00    975.00    425.00    206.00     65.00     48.00     30.00     39.00     52.00     42.00     49.00     45.00
  190                 432.00    630.00    560.00    633.00    320.00    243.00    205.00    224.00    213.00    198.00    241.00    277.00
  191                1289.00   1697.00   1241.00   1002.00    389.00    240.00    184.00    157.00    140.00    121.00    174.00    434.00
  196                  61.00     50.00     61.00     41.00     21.00     17.00     13.00     17.00     14.00     16.00     28.00     27.00
  197                  29.00     46.00     47.00     30.00     20.00     17.00     14.00     22.00     18.00     25.00     24.00     27.00
