data,fonte,submercado,patamar,sistema_orig,pat,sistema_calc,sistema,pmo,erro
2027-02-01,UFV,SUDESTE,1,2173.0,0.8977,1950.7021000000002,1951.0,1951.0,0.0
2027-03-01,UFV,SUDESTE,1,2141.0,0.8425,1803.7925,1804.0,1804.0,0.0
2027-04-01,UFV,SUDESTE,1,1928.0,0.726,1399.728,1400.0,1400.0,0.0
2027-05-01,UFV,SUDESTE,1,1936.0,0.2218,429.4048,429.0,429.0,0.0
2027-06-01,UFV,SUDESTE,1,1797.0,0.2314,415.8258,416.0,416.0,0.0
2027-07-01,UFV,SUDESTE,1,1918.0,0.2726,522.8468,523.0,523.0,0.0
2027-08-01,UFV,SUDESTE,1,2009.0,0.2854,573.3686,573.0,573.0,0.0
2027-09-01,UFV,SUDESTE,1,2509.0,0.7784,1953.0056,1953.0,1953.0,0.0
2027-10-01,UFV,SUDESTE,1,2150.0,0.7519,1616.585,1617.0,1617.0,0.0
2027-11-01,UFV,SUDESTE,1,2335.0,0.8098,1890.8829999999998,1891.0,1891.0,0.0
2027-12-01,UFV,SUDESTE,1,2079.0,0.8276,1720.5804,1721.0,1721.0,0.0
2028-01-01,UFV,SUDESTE,1,2097.0,0.8912,1868.8464,1869.0,1869.0,0.0
2028-02-01,UFV,SUDESTE,1,2199.0,0.8964,1971.1835999999998,1971.0,1971.0,0.0
2028-03-01,UFV,SUDESTE,1,2175.0,0.838,1822.6499999999999,1823.0,1823.0,0.0
2028-04-01,UFV,SUDESTE,1,1907.0,0.7339,1399.5473,1400.0,1400.0,0.0
2028-05-01,UFV,SUDESTE,1,1960.0,0.2191,429.436,429.0,429.0,0.0
2028-06-01,UFV,SUDESTE,1,1781.0,0.2335,415.86350000000004,416.0,416.0,0.0
2028-07-01,UFV,SUDESTE,1,1904.0,0.2747,523.0288,523.0,523.0,0.0
2028-08-01,UFV,SUDESTE,1,2025.0,0.2832,573.48,573.0,573.0,0.0
2028-09-01,UFV,SUDESTE,1,2496.0,0.7824,1952.8704,1953.0,1953.0,0.0
2028-10-01,UFV,SUDESTE,1,2159.0,0.7489,1616.8751,1617.0,1617.0,0.0
2028-11-01,UFV,SUDESTE,1,2329.0,0.8121,1891.3809,1891.0,1891.0,0.0
2028-12-01,UFV,SUDESTE,1,2058.0,0.8359,1720.2821999999999,1720.0,1720.0,0.0
2024-08-01,UFV,SUDESTE,2,1233.0,1.9134,2359.2222,2359.0,2359.0,0.0
2024-09-01,UFV,SUDESTE,2,1616.0,1.6108,2603.0528,2603.0,2603.0,0.0
2024-10-01,UFV,SUDESTE,2,1426.0,1.5746,2245.3796,2245.0,2245.0,0.0
