data,valor,ree,pmo,erro
1962-06-01,1909.4,SUDESTE,1909.4,0.0
1962-07-01,1582.4,SUDESTE,1582.4,0.0
1962-08-01,1401.7,SUDESTE,1401.7,0.0
1962-09-01,1447.5,SUDESTE,1447.5,0.0
1962-10-01,2358.3,SUDESTE,2358.3,0.0
1962-11-01,3067.3,SUDESTE,3067.3,0.0
1962-12-01,7702.5,SUDESTE,7702.4,0.0
1963-01-01,7093.3,SUDESTE,7093.2,0.0
1963-02-01,7169.7,SUDESTE,7169.6,0.0
1963-03-01,4209.4,SUDESTE,4209.4,0.0
1963-04-01,2799.3,SUDESTE,2799.3,0.0
1963-05-01,2107.9,SUDESTE,2107.9,0.0
1963-06-01,1595.8,SUDESTE,1595.8,0.0
1963-07-01,1340.7,SUDESTE,1340.7,0.0
1963-08-01,1155.6,SUDESTE,1155.6,0.0
1963-09-01,970.7,SUDESTE,970.7,0.0
1963-10-01,1136.6,SUDESTE,1136.6,0.0
1963-11-01,1925.8,SUDESTE,1925.8,0.0
1963-12-01,2211.3,SUDESTE,2211.3,0.0
1964-01-01,9866.8,SUDESTE,9866.7,0.0
1964-02-01,10751.4,SUDESTE,10751.2,0.0
1964-03-01,4996.4,SUDESTE,4996.3,0.0
1964-04-01,3749.6,SUDESTE,3749.6,0.0
1964-05-01,2645.1,SUDESTE,2645.0,0.0
1964-06-01,1817.9,SUDESTE,1817.9,0.0
1964-07-01,1650.5,SUDESTE,1650.5,0.0
1964-08-01,1282.6,SUDESTE,1282.5,0.0
1964-09-01,1110.7,SUDESTE,1110.7,0.0
1964-10-01,2062.2,SUDESTE,2062.1,0.0
1964-11-01,3600.2,SUDESTE,3600.1,0.0
1964-12-01,5677.9,SUDESTE,5677.8,0.0
1965-01-01,7370.6,SUDESTE,7370.5,0.0
1965-02-01,7708.6,SUDESTE,7708.4,0.0
1965-03-01,8315.5,SUDESTE,8315.4,0.0
1965-04-01,6603.8,SUDESTE,6603.7,0.0
1965-05-01,3892.1,SUDESTE,3892.1,0.0
1965-06-01,2551.6,SUDESTE,2551.6,0.0
1965-07-01,2129.0,SUDESTE,2129.0,0.0
1965-08-01,1636.3,SUDESTE,1636.2,0.0
1965-09-01,1304.1,SUDESTE,1304.1,0.0
1965-10-01,3007.1,SUDESTE,3007.1,0.0
1965-11-01,4488.6,SUDESTE,4488.6,0.0
1965-12-01,5476.7,SUDESTE,5476.6,0.0
1966-01-01,8119.2,SUDESTE,8119.1,0.0
1966-02-01,13278.5,SUDESTE,13278.3,0.0
1966-03-01,9865.8,SUDESTE,9865.7,0.0
1966-04-01,5634.4,SUDESTE,5634.4,0.0
1966-05-01,3656.7,SUDESTE,3656.7,0.0
1966-06-01,2474.6,SUDESTE,2474.6,0.0
1966-07-01,2009.1,SUDESTE,2009.1,0.0
1966-08-01,1804.6,SUDESTE,1804.6,0.0
1966-09-01,1599.1,SUDESTE,1599.1,0.0
1966-10-01,2453.2,SUDESTE,2453.2,0.0
1966-11-01,3478.0,SUDESTE,3477.9,0.0
1966-12-01,5720.7,SUDESTE,5720.6,0.0
1967-01-01,7144.2,SUDESTE,7144.1,0.0
1967-02-01,8587.0,SUDESTE,8586.9,0.0
1967-03-01,8152.4,SUDESTE,8152.3,0.0
1967-04-01,5675.4,SUDESTE,5675.4,0.0
1967-05-01,3294.7,SUDESTE,3294.7,0.0
1967-06-01,2572.3,SUDESTE,2572.3,0.0
1967-07-01,2021.3,SUDESTE,2021.2,0.0
1967-08-01,1546.7,SUDESTE,1546.7,0.0
1967-09-01,1536.4,SUDESTE,1536.3,0.0
1967-10-01,1682.4,SUDESTE,1682.4,0.0
1967-11-01,3461.1,SUDESTE,3461.0,0.0
1967-12-01,5964.7,SUDESTE,5964.6,0.0
1968-01-01,5402.9,SUDESTE,5402.8,0.0
1968-02-01,7428.4,SUDESTE,7428.3,0.0
1968-03-01,10391.1,SUDESTE,10391.0,0.0
1968-04-01,4806.0,SUDESTE,4805.9,0.0
1968-05-01,2961.8,SUDESTE,2961.8,0.0
1968-06-01,2194.7,SUDESTE,2194.7,0.0
1968-07-01,1786.0,SUDESTE,1785.9,0.0
1968-08-01,1621.9,SUDESTE,1621.8,0.0
1968-09-01,1501.9,SUDESTE,1501.9,0.0
1968-10-01,1936.2,SUDESTE,1936.2,0.0
1968-11-01,3542.4,SUDESTE,3542.3,0.0
1968-12-01,6671.0,SUDESTE,6670.9,0.0
1969-01-01,4942.9,SUDESTE,4942.8,0.0
1969-02-01,7313.1,SUDESTE,7313.1,0.0
1969-03-01,6475.3,SUDESTE,6475.2,0.0
1969-04-01,3608.1,SUDESTE,3608.1,0.0
1969-05-01,2694.2,SUDESTE,2694.2,0.0
1969-06-01,2079.4,SUDESTE,2079.4,0.0
1969-07-01,1535.6,SUDESTE,1535.6,0.0
1969-08-01,1346.0,SUDESTE,1346.0,0.0
1969-09-01,1196.5,SUDESTE,1196.5,0.0
1969-10-01,1870.0,SUDESTE,1870.0,0.0
1969-11-01,4797.8,SUDESTE,4797.7,0.0
1969-12-01,8223.1,SUDESTE,8223.0,0.0
1970-01-01,11439.1,SUDESTE,11439.0,0.0
1970-02-01,8975.0,SUDESTE,8974.9,0.0
1970-03-01,9594.8,SUDESTE,9594.7,0.0
1970-04-01,5521.1,SUDESTE,5521.0,0.0
1970-05-01,3198.5,SUDESTE,3198.4,0.0
1970-06-01,2335.1,SUDESTE,2335.1,0.0
1970-07-01,1960.2,SUDESTE,1960.2,0.0
1970-08-01,1712.3,SUDESTE,1712.3,0.0
1970-09-01,2049.0,SUDESTE,2049.0,0.0
1970-10-01,2711.2,SUDESTE,2711.2,0.0
1970-11-01,4339.8,SUDESTE,4339.7,0.0
1970-12-01,3345.1,SUDESTE,3345.1,0.0
1971-01-01,2824.4,SUDESTE,2824.4,0.0
1971-02-01,2805.1,SUDESTE,2805.1,0.0
1971-03-01,3962.0,SUDESTE,3962.0,0.0
1971-04-01,3263.8,SUDESTE,3263.8,0.0
1971-05-01,1981.1,SUDESTE,1981.1,0.0
1971-06-01,1820.5,SUDESTE,1820.5,0.0
1971-07-01,1405.1,SUDESTE,1405.1,0.0
1971-08-01,1238.4,SUDESTE,1238.4,0.0
1971-09-01,1335.9,SUDESTE,1335.9,0.0
1971-10-01,2420.7,SUDESTE,2420.7,0.0
1971-11-01,6015.5,SUDESTE,6015.4,0.0
1971-12-01,7496.0,SUDESTE,7495.9,0.0
1972-01-01,4707.5,SUDESTE,4707.4,0.0
1972-02-01,5427.8,SUDESTE,5427.7,0.0
1972-03-01,5757.2,SUDESTE,5757.1,0.0
1972-04-01,4511.1,SUDESTE,4511.1,0.0
1972-05-01,2466.5,SUDESTE,2466.5,0.0
